Date,Product,DayOfWeek,UnitsSold,UnitPrice,Revenue,MarketingSpend,CompetitorPriceIndex,WebSearchInterest,IsPromo,IsHoliday
2023-01-01,EcoFit Smart Bottle,Sunday,213.0,250.0,53250.0,3498.16,99.9,39.6,0,1
2023-01-02,EcoFit Smart Bottle,Monday,164.0,250.0,41000.0,5802.86,99.1,55.4,0,0
2023-01-03,EcoFit Smart Bottle,Tuesday,167.0,250.0,41750.0,4927.98,99.5,54.9,0,0
2023-01-04,EcoFit Smart Bottle,Wednesday,164.0,250.0,41000.0,4394.63,100.5,45.7,0,0
2023-01-05,EcoFit Smart Bottle,Thursday,173.0,250.0,43250.0,2624.07,100.3,43.4,0,0
2023-01-06,EcoFit Smart Bottle,Friday,166.0,250.0,41500.0,2623.98,101.6,47.6,0,0
2023-01-07,EcoFit Smart Bottle,Saturday,170.0,250.0,42500.0,2232.33,100.7,40.2,0,0
2023-01-08,EcoFit Smart Bottle,Sunday,175.0,250.0,43750.0,5464.7,101.3,46.4,0,0
2023-01-09,EcoFit Smart Bottle,Monday,159.0,250.0,39750.0,4404.46,102.3,56.9,0,0
2023-01-10,EcoFit Smart Bottle,Tuesday,155.0,250.0,38750.0,14588.8,102.2,71.8,0,0
2023-01-11,EcoFit Smart Bottle,Wednesday,204.0,250.0,51000.0,2082.34,102.1,43.5,0,0
2023-01-12,EcoFit Smart Bottle,Thursday,168.0,250.0,42000.0,5879.64,102.7,45.6,0,0
2023-01-13,EcoFit Smart Bottle,Friday,173.0,250.0,43250.0,5329.77,103.0,57.3,0,0
2023-01-14,EcoFit Smart Bottle,Saturday,204.0,250.0,51000.0,2849.36,101.8,44.8,0,0
2023-01-15,EcoFit Smart Bottle,Sunday,152.0,250.0,38000.0,2727.3,101.3,57.4,0,0
2023-01-16,EcoFit Smart Bottle,Monday,152.0,250.0,38000.0,2733.62,101.3,52.5,0,0
2023-01-17,EcoFit Smart Bottle,Tuesday,147.0,250.0,36750.0,3216.97,100.4,45.3,0,0
2023-01-18,EcoFit Smart Bottle,Wednesday,161.0,250.0,40250.0,4099.03,100.2,47.7,0,0
2023-01-19,EcoFit Smart Bottle,Thursday,163.0,250.0,40750.0,3727.78,99.4,59.3,0,0
2023-01-20,EcoFit Smart Bottle,Friday,177.0,250.0,44250.0,3164.92,99.1,49.2,0,0
2023-01-21,EcoFit Smart Bottle,Saturday,191.0,250.0,47750.0,4447.41,98.9,49.8,0,0
2023-01-22,EcoFit Smart Bottle,Sunday,175.0,250.0,43750.0,2557.98,99.1,48.9,0,0
2023-01-23,EcoFit Smart Bottle,Monday,159.0,250.0,39750.0,3168.58,99.1,47.5,0,0
2023-01-24,EcoFit Smart Bottle,Tuesday,158.0,250.0,39500.0,3465.45,99.4,52.0,0,0
2023-01-25,EcoFit Smart Bottle,Wednesday,169.0,250.0,42250.0,3824.28,99.6,51.3,0,0
2023-01-26,EcoFit Smart Bottle,Thursday,197.0,250.0,49250.0,5140.7,100.2,58.9,0,1
2023-01-27,EcoFit Smart Bottle,Friday,202.0,250.0,50500.0,2798.7,100.8,48.0,0,0
2023-01-28,EcoFit Smart Bottle,Saturday,181.0,250.0,45250.0,4056.94,101.2,48.2,0,0
2023-01-29,EcoFit Smart Bottle,Sunday,205.0,250.0,51250.0,4369.66,103.1,51.7,0,0
2023-01-30,EcoFit Smart Bottle,Monday,216.0,250.0,54000.0,7423.45,103.3,57.9,1,0
2023-01-31,EcoFit Smart Bottle,Tuesday,194.0,250.0,48500.0,4430.18,104.9,53.4,0,0
2023-02-01,EcoFit Smart Bottle,Wednesday,181.0,250.0,45250.0,2682.1,105.1,53.7,0,0
2023-02-02,EcoFit Smart Bottle,Thursday,231.0,250.0,57750.0,2260.21,105.1,52.7,1,0
2023-02-03,EcoFit Smart Bottle,Friday,177.0,250.0,44250.0,5795.54,104.8,63.0,0,0
2023-02-04,EcoFit Smart Bottle,Saturday,236.0,250.0,59000.0,5862.53,105.7,53.3,1,0
2023-02-05,EcoFit Smart Bottle,Sunday,227.0,250.0,56750.0,5233.59,106.7,58.2,0,0
2023-02-06,EcoFit Smart Bottle,Monday,188.0,250.0,47000.0,3218.46,107.1,56.0,0,0
2023-02-07,EcoFit Smart Bottle,Tuesday,179.0,250.0,44750.0,2390.69,107.8,47.5,0,0
2023-02-08,EcoFit Smart Bottle,Wednesday,183.0,250.0,45750.0,4736.93,107.0,54.7,0,0
2023-02-09,EcoFit Smart Bottle,Thursday,177.0,250.0,44250.0,3760.61,106.1,45.2,0,0
2023-02-10,EcoFit Smart Bottle,Friday,200.0,250.0,50000.0,2488.15,106.8,56.1,0,0
2023-02-11,EcoFit Smart Bottle,Saturday,194.0,250.0,48500.0,3980.71,106.7,53.7,0,0
2023-02-12,EcoFit Smart Bottle,Sunday,207.0,250.0,51750.0,6376.63,107.2,63.8,0,0
2023-02-13,EcoFit Smart Bottle,Monday,199.0,250.0,49750.0,5637.28,106.8,59.4,0,0
2023-02-14,EcoFit Smart Bottle,Tuesday,184.0,250.0,46000.0,3035.12,107.7,52.5,0,0
2023-02-15,EcoFit Smart Bottle,Wednesday,177.0,250.0,44250.0,4650.09,106.8,48.8,0,0
2023-02-16,EcoFit Smart Bottle,Thursday,227.0,250.0,56750.0,3246.84,106.0,47.1,1,0
2023-02-17,EcoFit Smart Bottle,Friday,201.0,250.0,50250.0,4080.27,106.9,43.0,0,0
2023-02-18,EcoFit Smart Bottle,Saturday,212.0,250.0,53000.0,4186.84,105.3,53.6,0,0
2023-02-19,EcoFit Smart Bottle,Sunday,208.0,250.0,52000.0,2739.42,105.5,65.1,0,0
2023-02-20,EcoFit Smart Bottle,Monday,182.0,250.0,45500.0,5878.34,105.5,53.7,0,0
2023-02-21,EcoFit Smart Bottle,Tuesday,212.0,250.0,53000.0,5100.53,105.0,45.6,0,0
2023-02-22,EcoFit Smart Bottle,Wednesday,193.0,250.0,48250.0,5758.0,104.9,65.1,0,0
2023-02-23,EcoFit Smart Bottle,Thursday,199.0,250.0,49750.0,5579.31,104.4,71.9,0,0
2023-02-24,EcoFit Smart Bottle,Friday,226.0,250.0,56500.0,4391.6,105.3,59.4,0,0
2023-02-25,EcoFit Smart Bottle,Saturday,225.0,250.0,56250.0,5687.5,106.4,62.1,0,0
2023-02-26,EcoFit Smart Bottle,Sunday,239.0,250.0,59750.0,2353.97,106.0,52.6,0,0
2023-02-27,EcoFit Smart Bottle,Monday,179.0,250.0,44750.0,2783.93,106.1,46.2,0,0
2023-02-28,EcoFit Smart Bottle,Tuesday,197.0,250.0,49250.0,2180.91,105.4,46.9,0,0
2023-03-01,EcoFit Smart Bottle,Wednesday,177.0,250.0,44250.0,3301.32,106.0,55.0,0,0
2023-03-02,EcoFit Smart Bottle,Thursday,189.0,250.0,47250.0,3554.71,106.6,54.7,0,0
2023-03-03,EcoFit Smart Bottle,Friday,192.0,250.0,48000.0,3085.4,106.4,56.0,0,0
2023-03-04,EcoFit Smart Bottle,Saturday,217.0,250.0,54250.0,5314.95,106.5,65.3,0,0
2023-03-05,EcoFit Smart Bottle,Sunday,219.0,250.0,54750.0,3427.01,106.4,54.7,0,0
2023-03-06,EcoFit Smart Bottle,Monday,198.0,250.0,49500.0,3123.74,105.4,61.4,0,0
2023-03-07,EcoFit Smart Bottle,Tuesday,224.0,250.0,56000.0,4170.78,106.4,56.5,1,0
2023-03-08,EcoFit Smart Bottle,Wednesday,211.0,250.0,52750.0,2563.7,105.9,61.6,0,0
2023-03-09,EcoFit Smart Bottle,Thursday,197.0,250.0,49250.0,5208.79,105.4,62.3,0,0
2023-03-10,EcoFit Smart Bottle,Friday,225.0,250.0,56250.0,2298.2,105.4,54.0,0,0
2023-03-11,EcoFit Smart Bottle,Saturday,215.0,250.0,53750.0,5947.55,105.9,64.0,0,0
2023-03-12,EcoFit Smart Bottle,Sunday,226.0,250.0,56500.0,19459.24,105.6,89.4,0,0
2023-03-13,EcoFit Smart Bottle,Monday,273.0,250.0,68250.0,2794.86,104.4,58.3,0,0
2023-03-14,EcoFit Smart Bottle,Tuesday,205.0,250.0,51250.0,2022.09,103.9,60.2,0,0
2023-03-15,EcoFit Smart Bottle,Wednesday,207.0,250.0,51750.0,5261.85,104.1,62.6,0,0
2023-03-16,EcoFit Smart Bottle,Thursday,214.0,250.0,53500.0,4827.43,105.5,60.5,0,0
2023-03-17,EcoFit Smart Bottle,Friday,226.0,250.0,56500.0,4916.03,104.7,57.1,0,0
2023-03-18,EcoFit Smart Bottle,Saturday,249.0,250.0,62250.0,5085.08,103.9,66.1,0,0
2023-03-19,EcoFit Smart Bottle,Sunday,245.0,250.0,61250.0,2296.18,103.0,59.5,0,0
2023-03-20,EcoFit Smart Bottle,Monday,204.0,250.0,51000.0,3433.86,102.0,54.3,0,0
2023-03-21,EcoFit Smart Bottle,Tuesday,201.0,250.0,50250.0,2463.48,102.8,62.6,0,0
2023-03-22,EcoFit Smart Bottle,Wednesday,198.0,250.0,49500.0,5452.41,103.7,58.6,0,0
2023-03-23,EcoFit Smart Bottle,Thursday,224.0,250.0,56000.0,4493.19,103.8,68.0,0,0
2023-03-24,EcoFit Smart Bottle,Friday,233.0,250.0,58250.0,3323.59,103.5,64.1,0,0
2023-03-25,EcoFit Smart Bottle,Saturday,241.0,250.0,60250.0,2254.23,104.6,60.8,0,0
2023-03-26,EcoFit Smart Bottle,Sunday,233.0,250.0,58250.0,3243.93,104.7,59.0,0,0
2023-03-27,EcoFit Smart Bottle,Monday,226.0,250.0,56500.0,3300.73,105.3,64.0,0,0
2023-03-28,EcoFit Smart Bottle,Tuesday,211.0,250.0,52750.0,4918.42,105.0,69.9,0,0
2023-03-29,EcoFit Smart Bottle,Wednesday,224.0,250.0,56000.0,4550.23,105.0,66.9,0,0
2023-03-30,EcoFit Smart Bottle,Thursday,214.0,250.0,53500.0,5548.85,104.3,62.8,0,0
2023-03-31,EcoFit Smart Bottle,Friday,218.0,250.0,54500.0,3888.86,104.7,64.3,0,0
2023-04-01,EcoFit Smart Bottle,Saturday,248.0,250.0,62000.0,2478.38,104.8,66.0,0,0
2023-04-02,EcoFit Smart Bottle,Sunday,233.0,250.0,58250.0,4852.98,104.2,76.2,0,0
2023-04-03,EcoFit Smart Bottle,Monday,223.0,250.0,55750.0,5043.14,103.7,64.7,0,0
2023-04-04,EcoFit Smart Bottle,Tuesday,231.0,250.0,57750.0,4245.11,104.7,68.6,0,0
2023-04-05,EcoFit Smart Bottle,Wednesday,222.0,250.0,55500.0,5083.87,105.9,71.8,0,0
2023-04-06,EcoFit Smart Bottle,Thursday,241.0,250.0,60250.0,3975.18,105.7,60.0,0,0
2023-04-07,EcoFit Smart Bottle,Friday,240.0,250.0,60000.0,4090.93,105.8,73.3,0,0
2023-04-08,EcoFit Smart Bottle,Saturday,243.0,250.0,60750.0,3710.16,106.0,58.5,0,0
2023-04-09,EcoFit Smart Bottle,Sunday,257.0,250.0,64250.0,2101.68,106.1,64.8,0,0
2023-04-10,EcoFit Smart Bottle,Monday,241.0,250.0,60250.0,2431.57,105.1,63.1,1,0
2023-04-11,EcoFit Smart Bottle,Tuesday,209.0,250.0,52250.0,2125.72,105.4,61.3,0,0
2023-04-12,EcoFit Smart Bottle,Wednesday,209.0,250.0,52250.0,4545.64,104.1,78.8,0,0
2023-04-13,EcoFit Smart Bottle,Thursday,224.0,250.0,56000.0,3257.42,103.7,62.1,0,0
2023-04-14,EcoFit Smart Bottle,Friday,242.0,250.0,60500.0,4034.28,104.0,63.7,0,0
2023-04-15,EcoFit Smart Bottle,Saturday,290.0,250.0,72500.0,5630.27,104.3,75.3,1,0
2023-04-16,EcoFit Smart Bottle,Sunday,260.0,250.0,65000.0,2997.17,103.8,67.3,0,0
2023-04-17,EcoFit Smart Bottle,Monday,227.0,250.0,56750.0,3641.53,103.6,71.3,0,0
2023-04-18,EcoFit Smart Bottle,Tuesday,210.0,250.0,52500.0,5022.2,103.2,68.4,0,0
2023-04-19,EcoFit Smart Bottle,Wednesday,232.0,250.0,58000.0,2915.19,103.2,65.3,0,0
2023-04-20,EcoFit Smart Bottle,Thursday,233.0,250.0,58250.0,2307.92,103.1,72.1,0,0
2023-04-21,EcoFit Smart Bottle,Friday,230.0,250.0,57500.0,3159.01,103.5,60.2,0,0
2023-04-22,EcoFit Smart Bottle,Saturday,254.0,250.0,63500.0,9271.85,103.2,76.2,0,0
2023-04-23,EcoFit Smart Bottle,Sunday,279.0,250.0,69750.0,5718.79,103.5,73.7,0,0
2023-04-24,EcoFit Smart Bottle,Monday,241.0,250.0,60250.0,5232.48,103.8,67.9,0,0
2023-04-25,EcoFit Smart Bottle,Tuesday,226.0,250.0,56500.0,4533.62,103.9,64.7,0,0
2023-04-26,EcoFit Smart Bottle,Wednesday,234.0,250.0,58500.0,20164.58,103.7,100.0,0,0
2023-04-27,EcoFit Smart Bottle,Thursday,280.0,250.0,70000.0,5214.69,103.8,75.8,0,0
2023-04-28,EcoFit Smart Bottle,Friday,260.0,250.0,65000.0,2746.28,104.3,63.6,0,0
2023-04-29,EcoFit Smart Bottle,Saturday,257.0,250.0,64250.0,5570.24,104.8,69.2,0,0
2023-04-30,EcoFit Smart Bottle,Sunday,267.0,250.0,66750.0,4157.37,105.9,64.1,0,0
2023-05-01,EcoFit Smart Bottle,Monday,239.0,250.0,59750.0,5229.76,105.3,68.1,0,0
2023-05-02,EcoFit Smart Bottle,Tuesday,239.0,250.0,59750.0,5584.37,105.0,75.8,0,0
2023-05-03,EcoFit Smart Bottle,Wednesday,257.0,250.0,64250.0,3272.01,104.0,66.2,0,0
2023-05-04,EcoFit Smart Bottle,Thursday,236.0,250.0,59000.0,2440.21,104.6,60.2,0,0
2023-05-05,EcoFit Smart Bottle,Friday,241.0,250.0,60250.0,2911.74,104.4,66.6,0,0
2023-05-06,EcoFit Smart Bottle,Saturday,250.0,250.0,62500.0,12347.23,104.5,89.5,0,0
2023-05-07,EcoFit Smart Bottle,Sunday,282.0,250.0,70500.0,5272.06,104.2,67.3,0,0
2023-05-08,EcoFit Smart Bottle,Monday,251.0,250.0,62750.0,5442.92,104.0,63.9,0,0
2023-05-09,EcoFit Smart Bottle,Tuesday,238.0,250.0,59500.0,2027.81,104.7,74.7,0,0
2023-05-10,EcoFit Smart Bottle,Wednesday,227.0,250.0,56750.0,4042.99,105.1,61.0,0,0
2023-05-11,EcoFit Smart Bottle,Thursday,263.0,250.0,65750.0,3669.64,105.1,65.4,0,0
2023-05-12,EcoFit Smart Bottle,Friday,240.0,250.0,60000.0,2888.43,105.5,66.9,0,0
2023-05-13,EcoFit Smart Bottle,Saturday,256.0,250.0,64000.0,2479.46,106.0,63.6,0,0
2023-05-14,EcoFit Smart Bottle,Sunday,252.0,250.0,63000.0,3350.46,105.8,66.4,0,0
2023-05-15,EcoFit Smart Bottle,Monday,239.0,250.0,59750.0,5771.64,104.9,74.5,0,0
2023-05-16,EcoFit Smart Bottle,Tuesday,246.0,250.0,61500.0,9999.29,104.3,68.2,0,0
2023-05-17,EcoFit Smart Bottle,Wednesday,275.0,250.0,68750.0,4075.16,103.5,62.0,0,0
2023-05-18,EcoFit Smart Bottle,Thursday,223.0,250.0,55750.0,4812.08,104.2,70.1,0,0
2023-05-19,EcoFit Smart Bottle,Friday,234.0,250.0,58500.0,3454.52,105.0,65.2,0,0
2023-05-20,EcoFit Smart Bottle,Saturday,262.0,250.0,65500.0,5887.13,106.0,72.7,0,0
2023-05-21,EcoFit Smart Bottle,Sunday,279.0,250.0,69750.0,5849.79,104.8,73.2,0,0
2023-05-22,EcoFit Smart Bottle,Monday,241.0,250.0,60250.0,3007.13,105.4,55.8,0,0
2023-05-23,EcoFit Smart Bottle,Tuesday,212.0,250.0,53000.0,3988.99,106.7,74.7,0,0
2023-05-24,EcoFit Smart Bottle,Wednesday,240.0,250.0,60000.0,3203.51,107.4,64.3,0,0
2023-05-25,EcoFit Smart Bottle,Thursday,245.0,250.0,61250.0,3139.36,106.1,62.4,0,0
2023-05-26,EcoFit Smart Bottle,Friday,239.0,250.0,59750.0,2147.55,107.2,65.8,0,0
