Date,Product,UnitsSold,RequiredHeadcount,StaffedHeadcount,HeadcountGap,OvertimeHoursPerWorker,BacklogUnits,BacklogFlag,EmployeeSatisfactionIndex,TotalLaborCost
2023-01-01,EcoFit Smart Bottle,213.0,8,10,-2,0.0,0,0,78.0,9000.0
2023-01-02,EcoFit Smart Bottle,164.0,8,10,-2,0.0,0,0,79.4,9000.0
2023-01-03,EcoFit Smart Bottle,167.0,7,10,-3,0.0,0,0,81.0,9000.0
2023-01-04,EcoFit Smart Bottle,164.0,7,10,-3,0.0,0,0,81.6,9000.0
2023-01-05,EcoFit Smart Bottle,173.0,7,10,-3,0.0,0,0,82.6,9000.0
2023-01-06,EcoFit Smart Bottle,166.0,7,10,-3,0.0,0,0,82.7,9000.0
2023-01-07,EcoFit Smart Bottle,170.0,7,10,-3,0.0,0,0,82.0,9000.0
2023-01-08,EcoFit Smart Bottle,175.0,7,10,-3,0.0,0,0,84.3,9000.0
2023-01-09,EcoFit Smart Bottle,159.0,7,10,-3,0.0,0,0,85.3,9000.0
2023-01-10,EcoFit Smart Bottle,155.0,7,10,-3,0.0,0,0,86.2,9000.0
2023-01-11,EcoFit Smart Bottle,204.0,8,10,-2,0.0,0,0,87.8,9000.0
2023-01-12,EcoFit Smart Bottle,168.0,8,10,-2,0.0,0,0,87.6,9000.0
2023-01-13,EcoFit Smart Bottle,173.0,8,10,-2,0.0,0,0,87.7,9000.0
2023-01-14,EcoFit Smart Bottle,204.0,8,10,-2,0.0,0,0,89.9,9000.0
2023-01-15,EcoFit Smart Bottle,152.0,7,10,-3,0.0,0,0,91.1,9000.0
2023-01-16,EcoFit Smart Bottle,152.0,7,10,-3,0.0,0,0,93.6,9000.0
2023-01-17,EcoFit Smart Bottle,147.0,7,10,-3,0.0,0,0,94.7,9000.0
2023-01-18,EcoFit Smart Bottle,161.0,7,10,-3,0.0,0,0,95.0,9000.0
2023-01-19,EcoFit Smart Bottle,163.0,7,10,-3,0.0,0,0,95.0,9000.0
2023-01-20,EcoFit Smart Bottle,177.0,7,10,-3,0.0,0,0,95.0,9000.0
2023-01-21,EcoFit Smart Bottle,191.0,7,10,-3,0.0,0,0,95.0,9000.0
2023-01-22,EcoFit Smart Bottle,175.0,7,10,-3,0.0,0,0,95.0,9000.0
2023-01-23,EcoFit Smart Bottle,159.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-01-24,EcoFit Smart Bottle,158.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-01-25,EcoFit Smart Bottle,169.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-01-26,EcoFit Smart Bottle,197.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-01-27,EcoFit Smart Bottle,202.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-01-28,EcoFit Smart Bottle,181.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-01-29,EcoFit Smart Bottle,205.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-01-30,EcoFit Smart Bottle,216.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-01-31,EcoFit Smart Bottle,194.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-01,EcoFit Smart Bottle,181.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-02,EcoFit Smart Bottle,231.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-03,EcoFit Smart Bottle,177.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-04,EcoFit Smart Bottle,236.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-05,EcoFit Smart Bottle,227.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-06,EcoFit Smart Bottle,188.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-07,EcoFit Smart Bottle,179.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-08,EcoFit Smart Bottle,183.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-09,EcoFit Smart Bottle,177.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-10,EcoFit Smart Bottle,200.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-11,EcoFit Smart Bottle,194.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-12,EcoFit Smart Bottle,207.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-13,EcoFit Smart Bottle,199.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-14,EcoFit Smart Bottle,184.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-15,EcoFit Smart Bottle,177.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-16,EcoFit Smart Bottle,227.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-17,EcoFit Smart Bottle,201.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-02-18,EcoFit Smart Bottle,212.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-19,EcoFit Smart Bottle,208.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-20,EcoFit Smart Bottle,182.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-21,EcoFit Smart Bottle,212.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-22,EcoFit Smart Bottle,193.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-23,EcoFit Smart Bottle,199.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-24,EcoFit Smart Bottle,226.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-25,EcoFit Smart Bottle,225.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-26,EcoFit Smart Bottle,239.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-27,EcoFit Smart Bottle,179.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-02-28,EcoFit Smart Bottle,197.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-03-01,EcoFit Smart Bottle,177.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-03-02,EcoFit Smart Bottle,189.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-03-03,EcoFit Smart Bottle,192.0,8,10,-2,0.0,0,0,95.0,9000.0
2023-03-04,EcoFit Smart Bottle,217.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-03-05,EcoFit Smart Bottle,219.0,9,10,-1,0.0,0,0,95.0,9000.0
2023-03-06,EcoFit Smart Bottle,198.0,9,9,0,0.0,0,0,95.0,8100.0
2023-03-07,EcoFit Smart Bottle,224.0,9,9,0,0.0,0,0,95.0,8100.0
2023-03-08,EcoFit Smart Bottle,211.0,9,9,0,0.0,0,0,95.0,8100.0
2023-03-09,EcoFit Smart Bottle,197.0,9,9,0,0.0,0,0,95.0,8100.0
2023-03-10,EcoFit Smart Bottle,225.0,9,9,0,0.0,0,0,95.0,8100.0
2023-03-11,EcoFit Smart Bottle,215.0,9,9,0,0.0,0,0,95.0,8100.0
2023-03-12,EcoFit Smart Bottle,226.0,9,9,0,0.0,1,1,95.0,8100.0
2023-03-13,EcoFit Smart Bottle,273.0,9,9,0,1.7,0,0,95.0,10681.88
2023-03-14,EcoFit Smart Bottle,205.0,9,9,0,0.0,0,0,95.0,8100.0
