Date,Product,DayOfWeek,UnitsSold,UnitPrice,Revenue,MarketingSpend,CompetitorPriceIndex,WebSearchInterest,IsPromo,IsHoliday,Day,Month,Quarter,WeekOfYear,MarketingSpend_lag1,WebSearchInterest_lag2,UnitsSold_roll_mean_7,UnitsSold_roll_std_7,UnitsSold_roll_mean_30,UnitsSold_roll_std_30
2023-01-30,EcoFit Smart Bottle,0,216,250,54000,7423.45,103.3,57.9,1,0,30,1,1,5,4369.66,48.2,189.7142857,20.97390669,175.3333333,19.56480537
2023-01-31,EcoFit Smart Bottle,1,194,250,48500,4430.18,104.9,53.4,0,0,31,1,1,5,7423.45,51.7,194.8571429,15.63573441,174.7,18.58651717
2023-02-01,EcoFit Smart Bottle,2,181,250,45250,2682.1,105.1,53.7,0,0,1,2,1,5,4430.18,57.9,196.5714286,12.71294803,175.2666667,18.5080287
2023-02-02,EcoFit Smart Bottle,3,231,250,57750,2260.21,105.1,52.7,1,0,2,2,1,5,2682.1,53.4,201.4285714,18.21041042,177.4,21.03789684
2023-02-03,EcoFit Smart Bottle,4,177,250,44250,5795.54,104.8,63,0,0,3,2,1,5,2260.21,53.7,197.8571429,20.39957983,177.8333333,20.88570429
2023-02-04,EcoFit Smart Bottle,5,236,250,59000,5862.53,105.7,53.3,1,0,4,2,1,5,5795.54,52.7,205.7142857,23.22150071,179.9333333,23.39898809
2023-02-05,EcoFit Smart Bottle,6,227,250,56750,5233.59,106.7,58.2,0,0,5,2,1,5,5862.53,63,208.8571429,24.55896694,181.9666667,24.75742081
2023-02-06,EcoFit Smart Bottle,0,188,250,47000,3218.46,107.1,56,0,0,6,2,1,6,5233.59,53.3,204.8571429,25.46519567,182.5666667,24.67538678
2023-02-07,EcoFit Smart Bottle,1,179,250,44750,2390.69,107.8,47.5,0,0,7,2,1,6,3218.46,58.2,202.7142857,27.10912691,182.7,24.64387733
2023-02-08,EcoFit Smart Bottle,2,183,250,45750,4736.93,107,54.7,0,0,8,2,1,6,2390.69,56,203,26.85144316,183.5,24.23413096
2023-02-09,EcoFit Smart Bottle,3,177,250,44250,3760.61,106.1,45.2,0,0,9,2,1,6,4736.93,47.5,195.2857143,25.17084481,184.2333333,23.66822886
2023-02-10,EcoFit Smart Bottle,4,200,250,50000,2488.15,106.8,56.1,0,0,10,2,1,6,3760.61,54.7,198.5714286,23.85272272,184.1,23.56407259
2023-02-11,EcoFit Smart Bottle,5,194,250,48500,3980.71,106.7,53.7,0,0,11,2,1,6,2488.15,45.2,192.5714286,17.23230632,184.9666667,23.42925276
2023-02-12,EcoFit Smart Bottle,6,207,250,51750,6376.63,107.2,63.8,0,0,12,2,1,6,3980.71,56.1,189.7142857,11.16115713,186.1,23.65171132
2023-02-13,EcoFit Smart Bottle,0,199,250,49750,5637.28,106.8,59.4,0,0,13,2,1,7,6376.63,53.7,191.2857143,11.64351444,185.9333333,23.53857192
2023-02-14,EcoFit Smart Bottle,1,184,250,46000,3035.12,107.7,52.5,0,0,14,2,1,7,5637.28,63.8,192,10.89342309,187,22.6563533
2023-02-15,EcoFit Smart Bottle,2,177,250,44250,4650.09,106.8,48.8,0,0,15,2,1,7,3035.12,59.4,191.1428571,11.9083804,187.8333333,21.76692102
2023-02-16,EcoFit Smart Bottle,3,227,250,56750,3246.84,106,47.1,1,0,16,2,1,7,4650.09,52.5,198.2857143,16.22461387,190.5,21.49057532
2023-02-17,EcoFit Smart Bottle,4,201,250,50250,4080.27,106.9,43,0,0,17,2,1,7,3246.84,48.8,198.4285714,16.24661137,191.8333333,20.82783836
2023-02-18,EcoFit Smart Bottle,5,212,250,53000,4186.84,105.3,53.6,0,0,18,2,1,7,4080.27,47.1,201,16.8424068,193.4666667,20.40576885
2023-02-19,EcoFit Smart Bottle,6,208,250,52000,2739.42,105.5,65.1,0,0,19,2,1,7,4186.84,43,201.1428571,16.90590204,194.5,20.32791524
2023-02-20,EcoFit Smart Bottle,0,182,250,45500,5878.34,105.5,53.7,0,0,20,2,1,8,2739.42,53.6,198.7142857,18.41841728,194.2,20.44740941
2023-02-21,EcoFit Smart Bottle,1,212,250,53000,5100.53,105,45.6,0,0,21,2,1,8,5878.34,65.1,202.7142857,17.71735764,195.4333333,20.36508732
2023-02-22,EcoFit Smart Bottle,2,193,250,48250,5758,104.9,65.1,0,0,22,2,1,8,5100.53,53.7,205,14.60593487,196.5666667,19.17916134
2023-02-23,EcoFit Smart Bottle,3,199,250,49750,5579.31,104.4,71.9,0,0,23,2,1,8,5758,45.6,201,10.95445115,197.9333333,17.74325191
2023-02-24,EcoFit Smart Bottle,4,226,250,56500,4391.6,105.3,59.4,0,0,24,2,1,8,5579.31,65.1,204.5714286,14.46671056,199.8333333,17.589345
2023-02-25,EcoFit Smart Bottle,5,225,250,56250,5687.5,106.4,62.1,0,0,25,2,1,8,4391.6,71.9,206.4285714,16.2978234,200.7666667,18.16719919
2023-02-26,EcoFit Smart Bottle,6,239,250,59750,2353.97,106,52.6,0,0,26,2,1,8,5687.5,59.4,210.8571429,20.47297871,202,19.46349368
2023-02-27,EcoFit Smart Bottle,0,179,250,44750,2783.93,106.1,46.2,0,0,27,2,1,9,2353.97,62.1,210.4285714,21.19636087,201.9333333,19.54117374
2023-02-28,EcoFit Smart Bottle,1,197,250,49250,2180.91,105.4,46.9,0,0,28,2,1,9,2783.93,52.6,208.2857143,21.76169636,201.6666667,19.55246405
2023-03-01,EcoFit Smart Bottle,2,177,250,44250,3301.32,106,55,0,0,1,3,1,9,2180.91,46.2,206,24.3241992,200.3666667,19.860693
2023-03-02,EcoFit Smart Bottle,3,189,250,47250,3554.71,106.6,54.7,0,0,2,3,1,9,3301.32,46.9,204.5714286,25.08556785,200.2,19.93679669
2023-03-03,EcoFit Smart Bottle,4,192,250,48000,3085.4,106.4,56,0,0,3,3,1,9,3554.71,55,199.7142857,23.48555787,200.5666667,19.67088402
2023-03-04,EcoFit Smart Bottle,5,217,250,54250,5314.95,106.5,65.3,0,0,4,3,1,9,3085.4,54.7,198.5714286,22.21003634,200.1,19.08122385
2023-03-05,EcoFit Smart Bottle,6,219,250,54750,3427.01,106.4,54.7,0,0,5,3,1,9,5314.95,56,195.7142857,16.76021366,201.5,18.86750536
2023-03-06,EcoFit Smart Bottle,0,198,250,49500,3123.74,105.4,61.4,0,0,6,3,1,10,3427.01,65.3,198.4285714,15.05387152,200.2333333,17.71164303
2023-03-07,EcoFit Smart Bottle,1,224,250,56000,4170.78,106.4,56.5,1,0,7,3,1,10,3123.74,54.7,202.2857143,17.82988396,200.1333333,17.5631537
2023-03-08,EcoFit Smart Bottle,2,211,250,52750,2563.7,105.9,61.6,0,0,8,3,1,10,4170.78,61.4,207.1428571,14.01699649,200.9,17.51718368
