Date,Product,StockOnHand,UnitsSold,ReorderPoint,SafetyStock,OrderPlaced,OrderQuantity,SupplierLeadTimeDays,OrderArrived,StockoutFlag,UnitsShort,DailyHoldingCost
2023-01-01,EcoFit Smart Bottle,987,213.0,960,66,0,0,7,0,0,0,21.63
2023-01-02,EcoFit Smart Bottle,823,164.0,960,66,1,2816,5,0,0,0,18.04
2023-01-03,EcoFit Smart Bottle,656,167.0,960,66,0,0,5,0,0,0,14.38
2023-01-04,EcoFit Smart Bottle,492,164.0,960,66,0,0,5,0,0,0,10.78
2023-01-05,EcoFit Smart Bottle,319,173.0,960,66,0,0,4,0,0,0,6.99
2023-01-06,EcoFit Smart Bottle,153,166.0,960,66,0,0,5,0,0,0,3.35
2023-01-07,EcoFit Smart Bottle,2799,170.0,960,66,0,0,5,1,0,0,61.35
2023-01-08,EcoFit Smart Bottle,2624,175.0,907,59,0,0,3,0,0,0,57.51
2023-01-09,EcoFit Smart Bottle,2465,159.0,921,59,0,0,6,0,0,0,54.03
2023-01-10,EcoFit Smart Bottle,2310,155.0,930,60,0,0,6,0,0,0,50.63
2023-01-11,EcoFit Smart Bottle,2106,204.0,935,67,0,0,4,0,0,0,46.16
2023-01-12,EcoFit Smart Bottle,1938,168.0,931,65,0,0,5,0,0,0,42.48
2023-01-13,EcoFit Smart Bottle,1765,173.0,941,62,0,0,6,0,0,0,38.68
2023-01-14,EcoFit Smart Bottle,1561,204.0,956,67,0,0,5,0,0,0,34.21
2023-01-15,EcoFit Smart Bottle,1357,152.0,968,70,0,0,5,0,0,0,29.74
2023-01-16,EcoFit Smart Bottle,1205,152.0,949,71,0,0,4,0,0,0,26.41
2023-01-17,EcoFit Smart Bottle,1058,147.0,954,74,0,0,6,0,0,0,23.19
2023-01-18,EcoFit Smart Bottle,897,161.0,949,73,1,2812,5,0,0,0,19.66
2023-01-19,EcoFit Smart Bottle,734,163.0,944,71,0,0,5,0,0,0,16.09
2023-01-20,EcoFit Smart Bottle,557,177.0,925,69,0,0,3,0,0,0,12.21
2023-01-21,EcoFit Smart Bottle,366,191.0,946,69,0,0,7,0,0,0,8.02
2023-01-22,EcoFit Smart Bottle,191,175.0,945,68,0,0,5,0,0,0,4.19
2023-01-23,EcoFit Smart Bottle,2844,159.0,941,67,0,0,5,1,0,0,62.33
2023-01-24,EcoFit Smart Bottle,2686,158.0,951,67,0,0,7,0,0,0,58.87
2023-01-25,EcoFit Smart Bottle,2517,169.0,949,66,0,0,5,0,0,0,55.17
2023-01-26,EcoFit Smart Bottle,2320,197.0,947,67,0,0,4,0,0,0,50.85
2023-01-27,EcoFit Smart Bottle,2118,202.0,953,68,0,0,5,0,0,0,46.42
2023-01-28,EcoFit Smart Bottle,1937,181.0,940,67,0,0,3,0,0,0,42.45
2023-01-29,EcoFit Smart Bottle,1732,205.0,954,69,0,0,6,0,0,0,37.96
2023-01-30,EcoFit Smart Bottle,1516,216.0,964,73,0,0,5,0,0,0,33.23
2023-01-31,EcoFit Smart Bottle,1322,194.0,939,69,0,0,4,0,0,0,28.98
2023-02-01,EcoFit Smart Bottle,1141,181.0,948,69,0,0,6,0,0,0,25.01
2023-02-02,EcoFit Smart Bottle,910,231.0,955,77,1,2859,3,0,0,0,19.95
2023-02-03,EcoFit Smart Bottle,733,177.0,962,76,0,0,6,0,0,0,16.07
2023-02-04,EcoFit Smart Bottle,497,236.0,975,85,0,0,3,0,0,0,10.89
2023-02-05,EcoFit Smart Bottle,3129,227.0,983,89,0,0,4,1,0,0,68.58
2023-02-06,EcoFit Smart Bottle,2941,188.0,979,88,0,0,4,0,0,0,64.46
2023-02-07,EcoFit Smart Bottle,2762,179.0,999,89,0,0,6,0,0,0,60.54
2023-02-08,EcoFit Smart Bottle,2579,183.0,1007,87,0,0,7,0,0,0,56.53
2023-02-09,EcoFit Smart Bottle,2402,177.0,1002,85,0,0,5,0,0,0,52.65
2023-02-10,EcoFit Smart Bottle,2202,200.0,1014,85,0,0,6,0,0,0,48.26
2023-02-11,EcoFit Smart Bottle,2008,194.0,1018,84,0,0,5,0,0,0,44.01
2023-02-12,EcoFit Smart Bottle,1801,207.0,1024,85,0,0,6,0,0,0,39.47
2023-02-13,EcoFit Smart Bottle,1602,199.0,1016,84,0,0,4,0,0,0,35.11
2023-02-14,EcoFit Smart Bottle,1418,184.0,999,83,0,0,3,0,0,0,31.08
