Date,Product,UnitsSold,RequiredHeadcount,StaffedHeadcount,HeadcountGap,OvertimeHoursPerWorker,BacklogUnits,BacklogFlag,EmployeeSatisfactionIndex,TotalLaborCost
1/1/2023,EcoFit Smart Bottle,213,8,10,-2,0.0,0,0,78.0,9000.0
1/2/2023,EcoFit Smart Bottle,164,8,10,-2,0.0,0,0,79.4,9000.0
1/3/2023,EcoFit Smart Bottle,167,7,10,-3,0.0,0,0,81.0,9000.0
1/4/2023,EcoFit Smart Bottle,164,7,10,-3,0.0,0,0,81.6,9000.0
1/5/2023,EcoFit Smart Bottle,173,7,10,-3,0.0,0,0,82.6,9000.0
1/6/2023,EcoFit Smart Bottle,166,7,10,-3,0.0,0,0,82.7,9000.0
1/7/2023,EcoFit Smart Bottle,170,7,10,-3,0.0,0,0,82.0,9000.0
1/8/2023,EcoFit Smart Bottle,175,7,10,-3,0.0,0,0,84.3,9000.0
1/9/2023,EcoFit Smart Bottle,159,7,10,-3,0.0,0,0,85.3,9000.0
1/10/2023,EcoFit Smart Bottle,155,7,10,-3,0.0,0,0,86.2,9000.0
1/11/2023,EcoFit Smart Bottle,204,8,10,-2,0.0,0,0,87.8,9000.0
1/12/2023,EcoFit Smart Bottle,168,8,10,-2,0.0,0,0,87.6,9000.0
1/13/2023,EcoFit Smart Bottle,173,8,10,-2,0.0,0,0,87.7,9000.0
1/14/2023,EcoFit Smart Bottle,204,8,10,-2,0.0,0,0,89.9,9000.0
1/15/2023,EcoFit Smart Bottle,152,7,10,-3,0.0,0,0,91.1,9000.0
1/16/2023,EcoFit Smart Bottle,152,7,10,-3,0.0,0,0,93.6,9000.0
1/17/2023,EcoFit Smart Bottle,147,7,10,-3,0.0,0,0,94.7,9000.0
1/18/2023,EcoFit Smart Bottle,161,7,10,-3,0.0,0,0,95.0,9000.0
1/19/2023,EcoFit Smart Bottle,163,7,10,-3,0.0,0,0,95.0,9000.0
1/20/2023,EcoFit Smart Bottle,177,7,10,-3,0.0,0,0,95.0,9000.0
1/21/2023,EcoFit Smart Bottle,191,7,10,-3,0.0,0,0,95.0,9000.0
1/22/2023,EcoFit Smart Bottle,175,7,10,-3,0.0,0,0,95.0,9000.0
1/23/2023,EcoFit Smart Bottle,159,8,10,-2,0.0,0,0,95.0,9000.0
