Date,Product,ForecastUnits,RequiredWorkers,CurrentStaff,Gap,LaborCost
2023-01-01,EcoFit Smart Bottle,213,10,10,0,9000.0
2023-01-02,EcoFit Smart Bottle,164,7,10,-3,9000.0
2023-01-03,EcoFit Smart Bottle,167,8,10,-2,9000.0
2023-01-04,EcoFit Smart Bottle,164,7,10,-3,9000.0
2023-01-05,EcoFit Smart Bottle,173,8,10,-2,9000.0
2023-01-06,EcoFit Smart Bottle,166,8,10,-2,9000.0
2023-01-07,EcoFit Smart Bottle,170,8,10,-2,9000.0
2023-01-08,EcoFit Smart Bottle,175,8,10,-2,9000.0
2023-01-09,EcoFit Smart Bottle,159,7,10,-3,9000.0
2023-01-10,EcoFit Smart Bottle,155,7,10,-3,9000.0
2023-01-11,EcoFit Smart Bottle,204,9,10,-1,9000.0
2023-01-12,EcoFit Smart Bottle,168,8,10,-2,9000.0
2023-01-13,EcoFit Smart Bottle,173,8,10,-2,9000.0
2023-01-14,EcoFit Smart Bottle,204,9,10,-1,9000.0
2023-01-15,EcoFit Smart Bottle,152,7,10,-3,9000.0
2023-01-16,EcoFit Smart Bottle,152,7,10,-3,9000.0
2023-01-17,EcoFit Smart Bottle,147,7,10,-3,9000.0
2023-01-18,EcoFit Smart Bottle,161,7,10,-3,9000.0
2023-01-19,EcoFit Smart Bottle,163,7,10,-3,9000.0
2023-01-20,EcoFit Smart Bottle,177,8,10,-2,9000.0
2023-01-21,EcoFit Smart Bottle,191,9,10,-1,9000.0
2023-01-22,EcoFit Smart Bottle,175,8,10,-2,9000.0
2023-01-23,EcoFit Smart Bottle,159,7,10,-3,9000.0
2023-01-24,EcoFit Smart Bottle,158,7,10,-3,9000.0
2023-01-25,EcoFit Smart Bottle,169,8,10,-2,9000.0
2023-01-26,EcoFit Smart Bottle,197,9,10,-1,9000.0
2023-01-27,EcoFit Smart Bottle,202,9,10,-1,9000.0
2023-01-28,EcoFit Smart Bottle,181,8,10,-2,9000.0
2023-01-29,EcoFit Smart Bottle,205,9,10,-1,9000.0
2023-01-30,EcoFit Smart Bottle,216,10,10,0,9000.0
2023-01-31,EcoFit Smart Bottle,194,9,10,-1,9000.0
2023-02-01,EcoFit Smart Bottle,181,8,10,-2,9000.0
2023-02-02,EcoFit Smart Bottle,231,10,10,0,9000.0
2023-02-03,EcoFit Smart Bottle,177,8,10,-2,9000.0
2023-02-04,EcoFit Smart Bottle,236,11,10,1,9000.0
2023-02-05,EcoFit Smart Bottle,227,10,10,0,9000.0
2023-02-06,EcoFit Smart Bottle,188,8,10,-2,9000.0
2023-02-07,EcoFit Smart Bottle,179,8,10,-2,9000.0
2023-02-08,EcoFit Smart Bottle,183,8,10,-2,9000.0
2023-02-09,EcoFit Smart Bottle,177,8,10,-2,9000.0
2023-02-10,EcoFit Smart Bottle,200,9,10,-1,9000.0
2023-02-11,EcoFit Smart Bottle,194,9,10,-1,9000.0
2023-02-12,EcoFit Smart Bottle,207,9,10,-1,9000.0
2023-02-13,EcoFit Smart Bottle,199,9,10,-1,9000.0
2023-02-14,EcoFit Smart Bottle,184,8,10,-2,9000.0
2023-02-15,EcoFit Smart Bottle,177,8,10,-2,9000.0
2023-02-16,EcoFit Smart Bottle,227,10,10,0,9000.0
2023-02-17,EcoFit Smart Bottle,201,9,10,-1,9000.0
2023-02-18,EcoFit Smart Bottle,212,9,10,-1,9000.0
2023-02-19,EcoFit Smart Bottle,208,9,10,-1,9000.0
2023-02-20,EcoFit Smart Bottle,182,8,10,-2,9000.0
2023-02-21,EcoFit Smart Bottle,212,9,10,-1,9000.0
2023-02-22,EcoFit Smart Bottle,193,9,10,-1,9000.0
2023-02-23,EcoFit Smart Bottle,199,9,10,-1,9000.0
2023-02-24,EcoFit Smart Bottle,226,10,10,0,9000.0
2023-02-25,EcoFit Smart Bottle,225,10,10,0,9000.0
2023-02-26,EcoFit Smart Bottle,239,11,10,1,9000.0
2023-02-27,EcoFit Smart Bottle,179,8,10,-2,9000.0
2023-02-28,EcoFit Smart Bottle,197,9,10,-1,9000.0
2023-03-01,EcoFit Smart Bottle,177,8,10,-2,9000.0
2023-03-02,EcoFit Smart Bottle,189,9,10,-1,9000.0
2023-03-03,EcoFit Smart Bottle,192,9,10,-1,9000.0
2023-03-04,EcoFit Smart Bottle,217,10,10,0,9000.0
2023-03-05,EcoFit Smart Bottle,219,10,10,0,9000.0
2023-03-06,EcoFit Smart Bottle,198,9,9,0,8100.0
2023-03-07,EcoFit Smart Bottle,224,10,9,1,8100.0
2023-03-08,EcoFit Smart Bottle,211,9,9,0,8100.0
2023-03-09,EcoFit Smart Bottle,197,9,9,0,8100.0
2023-03-10,EcoFit Smart Bottle,225,10,9,1,8100.0
2023-03-11,EcoFit Smart Bottle,215,10,9,1,8100.0
2023-03-12,EcoFit Smart Bottle,226,10,9,1,8100.0
2023-03-13,EcoFit Smart Bottle,273,12,9,3,10681.88
2023-03-14,EcoFit Smart Bottle,205,9,9,0,8100.0
2023-03-15,EcoFit Smart Bottle,207,9,9,0,8100.0
2023-03-16,EcoFit Smart Bottle,214,10,9,1,8100.0
2023-03-17,EcoFit Smart Bottle,226,10,9,1,8100.0
2023-03-18,EcoFit Smart Bottle,249,11,9,2,9466.88
2023-03-19,EcoFit Smart Bottle,245,11,9,2,9163.12
