Date,Product,OpeningStock,ReceivedQuantity,ForecastDemand,DemandUsed,FulfilledDemand,ClosingStock,InventoryPosition,LeadTimeDays,LeadTimeDemand,SafetyStock,ProjectedInventoryAfterLeadTime,NeedReplenishment,OpenPurchaseOrderAvailable,CreatedPO_ID,OrderQuantityCreated,StockoutFlag,UnitsShort,DailyHoldingCost,Action
2024-12-31,EcoFit Smart Bottle,719,3196,183.68,184,184,3731,3731,4,799.0,147,2932,NO,NO,,0,0,0,81.77,Do Nothing
2025-01-01,EcoFit Smart Bottle,3731,0,191.6,192,192,3539,3539,4,820.8,147,2718,NO,NO,,0,0,0,77.57,Do Nothing
2025-01-02,EcoFit Smart Bottle,3539,0,193.13,194,194,3345,3345,4,815.36,147,2529,NO,NO,,0,0,0,73.31,Do Nothing
2025-01-03,EcoFit Smart Bottle,3345,0,196.9,197,197,3148,3148,4,805.04,147,2342,NO,NO,,0,0,0,69.0,Do Nothing
2025-01-04,EcoFit Smart Bottle,3148,0,217.36,218,218,2930,2930,4,784.98,147,2145,NO,NO,,0,0,0,64.22,Do Nothing
2025-01-05,EcoFit Smart Bottle,2930,0,213.41,214,214,2716,2716,4,772.82,147,1943,NO,NO,,0,0,0,59.53,Do Nothing
2025-01-06,EcoFit Smart Bottle,2716,0,187.68,188,188,2528,2528,4,792.35,147,1735,NO,NO,,0,0,0,55.41,Do Nothing
2025-01-07,EcoFit Smart Bottle,2528,0,186.59,187,187,2341,2341,4,868.8,147,1472,NO,NO,,0,0,0,51.31,Do Nothing
2025-01-08,EcoFit Smart Bottle,2341,0,197.3,198,198,2143,2143,4,898.61,147,1244,NO,NO,,0,0,0,46.97,Do Nothing
2025-01-09,EcoFit Smart Bottle,2143,0,201.24,202,202,1941,1941,4,898.87,147,1042,NO,NO,,0,0,0,42.54,Do Nothing
2025-01-10,EcoFit Smart Bottle,1941,0,207.22,208,208,1733,1733,4,890.83,147,842,NO,NO,,0,0,0,37.98,Do Nothing
2025-01-11,EcoFit Smart Bottle,1733,0,263.04,264,264,1469,4117,4,835.83,147,3281,YES,NO,PO-20250111-002,2648,0,0,32.2,Create Purchase Order
2025-01-12,EcoFit Smart Bottle,1469,0,227.11,228,228,1241,3889,4,819.4,147,3069,NO,YES,,0,0,0,27.2,Do Nothing
2025-01-13,EcoFit Smart Bottle,1241,0,201.5,202,202,1039,3687,4,834.76,147,2852,NO,YES,,0,0,0,22.77,Do Nothing
2025-01-14,EcoFit Smart Bottle,1039,0,199.18,200,200,839,3487,4,876.47,147,2610,NO,YES,,0,0,0,18.39,Do Nothing
2025-01-15,EcoFit Smart Bottle,839,2648,208.04,209,209,3278,3278,4,908.44,147,2369,NO,NO,,0,0,0,71.85,Do Nothing
2025-01-16,EcoFit Smart Bottle,3278,0,210.69,211,211,3067,3067,4,912.66,147,2154,NO,NO,,0,0,0,67.22,Do Nothing
2025-01-17,EcoFit Smart Bottle,3067,0,216.86,217,217,2850,2850,4,907.11,147,1942,NO,NO,,0,0,0,62.47,Do Nothing
2025-01-18,EcoFit Smart Bottle,2850,0,240.89,241,241,2609,2609,4,883.59,147,1725,NO,NO,,0,0,0,57.18,Do Nothing
2025-01-19,EcoFit Smart Bottle,2609,0,240.01,241,241,2368,2368,4,860.14,147,1507,NO,NO,,0,0,0,51.9,Do Nothing
2025-01-20,EcoFit Smart Bottle,2368,0,214.91,215,215,2153,2153,4,864.62,147,1288,NO,NO,,0,0,0,47.19,Do Nothing
2025-01-21,EcoFit Smart Bottle,2153,0,211.31,212,212,1941,1941,4,927.35,147,1013,NO,NO,,0,0,0,42.54,Do Nothing
2025-01-22,EcoFit Smart Bottle,1941,0,217.37,218,218,1723,1723,4,947.51,147,775,NO,NO,,0,0,0,37.76,Do Nothing
2025-01-23,EcoFit Smart Bottle,1723,0,216.56,217,217,1506,4274,4,942.11,147,3331,YES,NO,PO-20250123-003,2768,0,0,33.01,Create Purchase Order
2025-01-24,EcoFit Smart Bottle,1506,0,219.38,220,220,1286,4054,4,930.31,147,3123,NO,YES,,0,0,0,28.19,Do Nothing
2025-01-25,EcoFit Smart Bottle,1286,0,274.04,275,275,1011,3779,4,871.2,147,2907,NO,YES,,0,0,0,22.16,Do Nothing
2025-01-26,EcoFit Smart Bottle,1011,0,237.53,238,238,773,3541,4,849.64,147,2691,NO,YES,,0,0,0,16.94,Do Nothing
2025-01-27,EcoFit Smart Bottle,773,2768,211.15,212,212,3329,3329,4,858.6,147,2470,NO,NO,,0,0,0,72.96,Do Nothing
2025-01-28,EcoFit Smart Bottle,3329,0,207.58,208,208,3121,3121,4,892.36,147,2228,NO,NO,,0,0,0,68.4,Do Nothing
2025-01-29,EcoFit Smart Bottle,3121,0,214.93,215,215,2906,2906,4,947.95,147,1958,NO,NO,,0,0,0,63.69,Do Nothing
2025-01-30,EcoFit Smart Bottle,2906,0,215.97,216,216,2690,2690,4,974.6,147,1715,NO,NO,,0,0,0,58.96,Do Nothing
2025-01-31,EcoFit Smart Bottle,2690,0,220.12,221,221,2469,2469,4,959.46,147,1509,NO,NO,,0,0,0,54.11,Do Nothing
2025-02-01,EcoFit Smart Bottle,2469,0,241.34,242,242,2227,2227,4,931.44,147,1295,NO,NO,,0,0,0,48.81,Do Nothing
2025-02-02,EcoFit Smart Bottle,2227,0,270.52,271,271,1956,1956,4,877.5,147,1078,NO,NO,,0,0,0,42.87,Do Nothing
2025-02-03,EcoFit Smart Bottle,1956,0,242.61,243,243,1713,1713,4,858.33,147,854,NO,NO,,0,0,0,37.54,Do Nothing
2025-02-04,EcoFit Smart Bottle,1713,0,204.98,205,205,1508,4534,4,900.74,147,3633,YES,NO,PO-20250204-004,3026,0,0,33.05,Create Purchase Order
2025-02-05,EcoFit Smart Bottle,1508,0,213.32,214,214,1294,4320,4,933.07,147,3386,NO,YES,,0,0,0,28.36,Do Nothing
2025-02-06,EcoFit Smart Bottle,1294,0,216.58,217,217,1077,4103,4,936.8,147,3166,NO,YES,,0,0,0,23.61,Do Nothing
2025-02-07,EcoFit Smart Bottle,1077,0,223.45,224,224,853,3879,4,931.9,147,2947,NO,YES,,0,0,0,18.7,Do Nothing
