Date,Forecast,Lower95CI,Upper95CI,ConfidenceInterval,ForecastAccuracy(%),ConfidenceLevel,CI_Width
2024-12-31,182.24350927096583,155.68338053431555,210.21161300543176,155.68 to 210.21,96.52,95%,54.52823247111618
2025-01-01,186.28255185406243,160.37574652862213,213.0293037980704,160.38 to 213.03,96.52,95%,52.65355726944827
2025-01-02,190.92911324447283,160.68160305236586,218.6297116371588,160.68 to 218.63,96.52,95%,57.94810858479295
2025-01-03,200.00784095980157,171.30153068064027,227.47557157809396,171.3 to 227.48,96.52,95%,56.17404089745369
2025-01-04,215.97639397461035,189.03935382917743,242.9816381504173,189.04 to 242.98,96.52,95%,53.94228432123984
2025-01-05,208.26381287479563,178.99917266565777,238.02660265276717,179.0 to 238.03,96.52,95%,59.0274299871094
2025-01-06,186.029108736071,159.08494485616546,212.6279294861417,159.08 to 212.63,96.52,95%,53.542984629976246
2025-01-07,182.6989041619418,154.1387035790815,211.0458653088711,154.14 to 211.05,96.52,95%,56.90716172978961
2025-01-08,190.90476351949675,163.81343676428256,220.85409531448028,163.81 to 220.85,96.52,95%,57.04065855019772
2025-01-09,198.0204494247566,171.85722608631238,223.9703044812273,171.86 to 223.97,96.52,95%,52.11307839491491
2025-01-10,208.23646959653627,179.19342598561784,235.13242734451785,179.19 to 235.13,96.52,95%,55.939001358899986
2025-01-11,227.7943188387576,199.96070608976163,255.2227809350591,199.96 to 255.22,96.52,95%,55.26207484529746
2025-01-12,222.7936182540417,195.65137839984473,251.76607371105888,195.65 to 251.77,96.52,95%,56.11469531121415
2025-01-13,198.57292638898736,169.93471130388704,226.60497623553735,169.93 to 226.6,96.52,95%,56.67026493165034
2025-01-14,196.3440800279845,169.07305223291524,222.73006220578884,169.07 to 222.73,96.52,95%,53.657009972873595
2025-01-15,206.81208565347504,180.12325993427916,236.18300024558707,180.12 to 236.18,96.52,95%,56.059740311307905
2025-01-16,207.78857548816123,181.04437305543925,236.71333120202152,181.04 to 236.71,96.52,95%,55.66895814658227
2025-01-17,214.7652695098724,187.22358511059383,243.09973495860547,187.22 to 243.1,96.52,95%,55.87614984801161
2025-01-18,242.0756597998299,214.84507138966504,269.1329284026351,214.85 to 269.13,96.52,95%,54.28785701297008
2025-01-19,240.2319916819336,213.24747477282372,266.7803934511594,213.25 to 266.78,96.52,95%,53.53291867833568
2025-01-20,211.63517251258648,183.7324241995151,240.6167147383626,183.73 to 240.62,96.52,95%,56.884290538847495
2025-01-21,207.9606444960058,180.4565651972272,234.7894856379483,180.46 to 234.79,96.52,95%,54.332920440721125
2025-01-22,216.05934489843975,189.17925037245985,243.93801561142672,189.18 to 243.94,96.52,95%,54.75876523896687
2025-01-23,212.48708380293607,185.0659618986811,237.38082006399677,185.07 to 237.38,96.52,95%,52.314858165315655
2025-01-24,218.5585624698682,193.3071166874435,244.20062208707924,193.31 to 244.2,96.52,95%,50.8935053996357
2025-01-25,242.680263622004,215.98829194957867,272.08848605129884,215.99 to 272.09,96.52,95%,56.10019410172018
2025-01-26,234.4487640042088,207.14544891833276,262.2216147470223,207.15 to 262.22,96.52,95%,55.07616582868951
2025-01-27,205.3206298374063,176.86056837900236,233.67492284773792,176.86 to 233.67,96.52,95%,56.81435446873556
2025-01-28,203.9555342741658,176.140439906286,229.80299112016493,176.14 to 229.8,96.52,95%,53.66255121387894
2025-01-29,213.08518978728685,187.30342196404897,239.44424818995327,187.3 to 239.44,96.52,95%,52.140826225904334
