Date,PredictedUnitsSold,Lower95CI,Upper95CI,ConfidenceInterval,ForecastAccuracy(%),ConfidenceLevel,CI_Width
2024-12-31,182.24350927096586,155.68338053431557,210.21161300543176,155.68 to 210.21,96.52,95%,54.52823247111618
2025-01-01,186.28255185406243,160.37574652862213,213.0293037980704,160.38 to 213.03,96.52,95%,52.65355726944827
2025-01-02,190.92911324447283,160.68160305236586,218.6297116371588,160.68 to 218.63,96.52,95%,57.94810858479295
2025-01-03,200.00784095980157,171.30153068064027,227.47557157809396,171.3 to 227.48,96.52,95%,56.17404089745369
2025-01-04,215.97639397461037,189.03935382917746,242.9816381504173,189.04 to 242.98,96.52,95%,53.94228432123984
2025-01-05,208.26381287479563,178.99917266565777,238.02660265276717,179.0 to 238.03,96.52,95%,59.0274299871094
2025-01-06,186.029108736071,159.08494485616546,212.6279294861417,159.08 to 212.63,96.52,95%,53.542984629976246
2025-01-07,182.6989041619418,154.1387035790815,211.0458653088711,154.14 to 211.05,96.52,95%,56.90716172978961
2025-01-08,190.90476351949675,163.81343676428256,220.85409531448028,163.81 to 220.85,96.52,95%,57.04065855019772
2025-01-09,198.0204494247566,171.85722608631238,223.9703044812273,171.86 to 223.97,96.52,95%,52.11307839491491
2025-01-10,208.23646959653627,179.19342598561784,235.13242734451782,179.19 to 235.13,96.52,95%,55.939001358899986
2025-01-11,227.7943188387576,199.96070608976163,255.2227809350591,199.96 to 255.22,96.52,95%,55.26207484529746
2025-01-12,222.7936182540417,195.65137839984473,251.76607371105888,195.65 to 251.77,96.52,95%,56.11469531121415
2025-01-13,198.57292638898738,169.93471130388704,226.60497623553738,169.93 to 226.6,96.52,95%,56.67026493165034
2025-01-14,196.34408002798446,169.07305223291524,222.73006220578884,169.07 to 222.73,96.52,95%,53.657009972873595
2025-01-15,206.81208565347504,180.12325993427916,236.18300024558707,180.12 to 236.18,96.52,95%,56.059740311307905
